Chain,Depth,Subject,Issuer,Not Valid Before,Not Valid After,# of SANs
3,0,/businessCategory=Private Organization/jurisdictionC=SG/serialNumber=200509725E/C=SG/L=Singapore/O=PayPal Pte Ltd/OU=PayPal Production/CN=py.pl,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Mar  5 00:00:00 2019 GMT,Apr 22 12:00:00 2021 GMT,2
3,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
4,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=3014267/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=Braintree Production/CN=www.braintreepayments.com",/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Jan 24 00:00:00 2018 GMT,Jan 29 12:00:00 2020 GMT,1
4,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
5,0,"/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=PayPal Production/CN=paypal.me",/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,Apr  7 00:00:00 2017 GMT,Jun 20 12:00:00 2019 GMT,1
5,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 High Assurance Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
6,0,"/businessCategory=Private Organization/jurisdictionC=US/jurisdictionST=Delaware/serialNumber=3014267/C=US/ST=California/L=San Jose/O=PayPal, Inc./OU=Braintree Production/CN=braintreepayments.com",/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,Jan 24 00:00:00 2018 GMT,Mar 25 12:00:00 2020 GMT,1
6,1,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert SHA2 Extended Validation Server CA,/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert High Assurance EV Root CA,Oct 22 12:00:00 2013 GMT,Oct 22 12:00:00 2028 GMT,0
7,0,/OU=Domain Control Validated/CN=*.venmo.com,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2",Oct 23 14:42:15 2018 GMT,Dec 22 22:11:10 2020 GMT,2
7,1,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./OU=http://certs.godaddy.com/repository//CN=Go Daddy Secure Certificate Authority - G2","/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2",May  3 07:00:00 2011 GMT,May  3 07:00:00 2031 GMT,0
7,2,"/C=US/ST=Arizona/L=Scottsdale/O=GoDaddy.com, Inc./CN=Go Daddy Root Certificate Authority - G2","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority",Jan  1 07:00:00 2014 GMT,May 30 07:00:00 2031 GMT,0
7,3,"/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority","/C=US/O=The Go Daddy Group, Inc./OU=Go Daddy Class 2 Certification Authority",Jun 29 17:06:20 2004 GMT,Jun 29 17:06:20 2034 GMT,0
