Host,Address,Transport,Port,Service,Depth,Subject,Issuer,"Not Valid Before","Not Valid After"
lifeinvader.com,104.255.105.65,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games, Inc./CN=www.lifeinvader.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jul 20 00:00:00 2018 GMT","Jul 24 12:00:00 2020 GMT"
lifeinvader.com,104.255.105.65,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
lifeinvader.com,104.255.105.65,tcp,443,https,2,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov 10 00:00:00 2006 GMT","Nov 10 00:00:00 2031 GMT"
media.rockstargames.com,184.86.54.51,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games/CN=www.rockstargames.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Apr 26 00:00:00 2019 GMT","Jun 15 12:00:00 2020 GMT"
media.rockstargames.com,184.86.54.51,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
patches.rockstargames.com,95.140.228.32,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games/OU=Rockstar Games/CN=www.rockstargames.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","Mar 21 18:22:58 2019 GMT","Apr 10 18:52:57 2021 GMT"
patches.rockstargames.com,95.140.228.32,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Oct  5 19:13:56 2015 GMT","Dec  5 19:43:56 2030 GMT"
prod.cloud.rockstargames.com,95.140.228.32,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games/OU=Rockstar Games/CN=www.rockstargames.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","Mar 21 18:22:58 2019 GMT","Apr 10 18:52:57 2021 GMT"
prod.cloud.rockstargames.com,95.140.228.32,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Oct  5 19:13:56 2015 GMT","Dec  5 19:43:56 2030 GMT"
prod.hosted.cloud.rockstargames.com,95.140.228.32,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games/OU=Rockstar Games/CN=www.rockstargames.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","Mar 21 18:22:58 2019 GMT","Apr 10 18:52:57 2021 GMT"
prod.hosted.cloud.rockstargames.com,95.140.228.32,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Oct  5 19:13:56 2015 GMT","Dec  5 19:43:56 2030 GMT"
prod.ros.rockstargames.com,192.81.241.100,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games/OU=Rockstar Games/CN=*.ros.rockstargames.com","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","Aug  7 21:47:01 2018 GMT","Nov  6 22:17:01 2020 GMT"
prod.ros.rockstargames.com,192.81.241.100,tcp,443,https,1,"/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2012 Entrust, Inc. - for authorized use only/CN=Entrust Certification Authority - L1K","/C=US/O=Entrust, Inc./OU=See www.entrust.net/legal-terms/OU=(c) 2009 Entrust, Inc. - for authorized use only/CN=Entrust Root Certification Authority - G2","Oct  5 19:13:56 2015 GMT","Dec  5 19:43:56 2030 GMT"
socialclub.rockstargames.com,104.255.105.71,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games/CN=socialclub.rockstargames.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Jan 25 00:00:00 2019 GMT","Aug 26 12:00:00 2020 GMT"
socialclub.rockstargames.com,104.255.105.71,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
socialclub.rockstargames.com,104.255.105.71,tcp,443,https,2,"/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Nov 10 00:00:00 2006 GMT","Nov 10 00:00:00 2031 GMT"
support.rockstargames.com,184.86.54.51,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games/CN=www.rockstargames.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Apr 26 00:00:00 2019 GMT","Jun 15 12:00:00 2020 GMT"
support.rockstargames.com,184.86.54.51,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
www.rockstargames.com,184.86.54.51,tcp,443,https,0,"/C=US/ST=New York/L=New York/O=Rockstar Games, Inc./OU=Rockstar Games/CN=www.rockstargames.com","/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","Apr 26 00:00:00 2019 GMT","Jun 15 12:00:00 2020 GMT"
www.rockstargames.com,184.86.54.51,tcp,443,https,1,"/C=US/O=DigiCert Inc/CN=DigiCert SHA2 Secure Server CA","/C=US/O=DigiCert Inc/OU=www.digicert.com/CN=DigiCert Global Root CA","Mar  8 12:00:00 2013 GMT","Mar  8 12:00:00 2023 GMT"
