Host,Address,Transport,Port,Service,Component,Version
deliveroo.ae,104.16.11.43,tcp,80,http,cloudflare/cloudflare,
deliveroo.ae,104.16.11.43,tcp,443,http,cloudflare/cloudflare,
deliveroo.ae,104.16.11.43,tcp,443,https,cloudflare/cloudflare,
deliveroo.ae,104.16.11.43,tcp,8080,http,cloudflare/cloudflare,
deliveroo.ae,104.16.86.82,tcp,80,http,cloudflare/cloudflare,
deliveroo.ae,104.16.86.82,tcp,443,http,cloudflare/cloudflare,
deliveroo.ae,104.16.86.82,tcp,443,https,cloudflare/cloudflare,
deliveroo.ae,104.16.86.82,tcp,8080,http,cloudflare/cloudflare,
deliveroo.be,104.17.174.71,tcp,80,http,cloudflare/cloudflare,
deliveroo.be,104.17.174.71,tcp,443,http,cloudflare/cloudflare,
deliveroo.be,104.17.174.71,tcp,443,https,cloudflare/cloudflare,
deliveroo.be,104.17.174.71,tcp,8080,http,cloudflare/cloudflare,
deliveroo.be,104.17.175.71,tcp,80,http,cloudflare/cloudflare,
deliveroo.be,104.17.175.71,tcp,443,http,cloudflare/cloudflare,
deliveroo.be,104.17.175.71,tcp,443,https,cloudflare/cloudflare,
deliveroo.be,104.17.175.71,tcp,8080,http,cloudflare/cloudflare,
deliveroo.co.uk,104.16.232.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.co.uk,104.16.232.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.co.uk,104.16.232.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.co.uk,104.16.232.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.co.uk,104.16.233.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.co.uk,104.16.233.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.co.uk,104.16.233.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.co.uk,104.16.233.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.com,104.17.230.70,tcp,80,http,cloudflare/cloudflare,
deliveroo.com,104.17.230.70,tcp,443,http,cloudflare/cloudflare,
deliveroo.com,104.17.230.70,tcp,443,https,cloudflare/cloudflare,
deliveroo.com,104.17.230.70,tcp,8080,http,cloudflare/cloudflare,
deliveroo.com,104.17.230.70,tcp,8443,https,cloudflare/cloudflare,
deliveroo.com,104.17.231.70,tcp,80,http,cloudflare/cloudflare,
deliveroo.com,104.17.231.70,tcp,443,http,cloudflare/cloudflare,
deliveroo.com,104.17.231.70,tcp,443,https,cloudflare/cloudflare,
deliveroo.com,104.17.231.70,tcp,8080,http,cloudflare/cloudflare,
deliveroo.com,104.17.231.70,tcp,8443,https,cloudflare/cloudflare,
deliveroo.com.au,104.16.232.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.com.au,104.16.232.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.com.au,104.16.232.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.com.au,104.16.232.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.com.au,104.16.233.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.com.au,104.16.233.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.com.au,104.16.233.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.com.au,104.16.233.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.com.sg,104.18.65.62,tcp,80,http,cloudflare/cloudflare,
deliveroo.com.sg,104.18.65.62,tcp,443,http,cloudflare/cloudflare,
deliveroo.com.sg,104.18.65.62,tcp,443,https,cloudflare/cloudflare,
deliveroo.com.sg,104.18.65.62,tcp,8080,http,cloudflare/cloudflare,
deliveroo.com.sg,104.18.66.62,tcp,80,http,cloudflare/cloudflare,
deliveroo.com.sg,104.18.66.62,tcp,443,http,cloudflare/cloudflare,
deliveroo.com.sg,104.18.66.62,tcp,443,https,cloudflare/cloudflare,
deliveroo.com.sg,104.18.66.62,tcp,8080,http,cloudflare/cloudflare,
deliveroo.de,104.18.218.77,tcp,80,http,cloudflare/cloudflare,
deliveroo.de,104.18.218.77,tcp,443,http,cloudflare/cloudflare,
deliveroo.de,104.18.218.77,tcp,443,https,cloudflare/cloudflare,
deliveroo.de,104.18.218.77,tcp,8080,http,cloudflare/cloudflare,
deliveroo.de,104.18.219.77,tcp,80,http,cloudflare/cloudflare,
deliveroo.de,104.18.219.77,tcp,443,http,cloudflare/cloudflare,
deliveroo.de,104.18.219.77,tcp,443,https,cloudflare/cloudflare,
deliveroo.de,104.18.219.77,tcp,8080,http,cloudflare/cloudflare,
deliveroo.es,104.16.232.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.es,104.16.232.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.es,104.16.232.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.es,104.16.232.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.es,104.16.233.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.es,104.16.233.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.es,104.16.233.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.es,104.16.233.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.fr,104.17.98.24,tcp,80,http,cloudflare/cloudflare,
deliveroo.fr,104.17.98.24,tcp,443,http,cloudflare/cloudflare,
deliveroo.fr,104.17.98.24,tcp,443,https,cloudflare/cloudflare,
deliveroo.fr,104.17.98.24,tcp,8080,http,cloudflare/cloudflare,
deliveroo.fr,104.17.99.24,tcp,80,http,cloudflare/cloudflare,
deliveroo.fr,104.17.99.24,tcp,443,http,cloudflare/cloudflare,
deliveroo.fr,104.17.99.24,tcp,443,https,cloudflare/cloudflare,
deliveroo.fr,104.17.99.24,tcp,8080,http,cloudflare/cloudflare,
deliveroo.hk,104.16.232.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.hk,104.16.232.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.hk,104.16.232.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.hk,104.16.232.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.hk,104.16.233.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.hk,104.16.233.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.hk,104.16.233.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.hk,104.16.233.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.ie,104.16.232.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.ie,104.16.232.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.ie,104.16.232.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.ie,104.16.232.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.ie,104.16.233.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.ie,104.16.233.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.ie,104.16.233.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.ie,104.16.233.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.it,104.16.232.91,tcp,80,http,cloudflare/cloudflare,
deliveroo.it,104.16.232.91,tcp,443,http,cloudflare/cloudflare,
deliveroo.it,104.16.232.91,tcp,443,https,cloudflare/cloudflare,
deliveroo.it,104.16.232.91,tcp,8080,http,cloudflare/cloudflare,
deliveroo.it,104.16.233.91,tcp,80,http,cloudflare/cloudflare,
